drug_name,smiles
daunorubicin,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O
tianeptine,CN1C2=CC=CC=C2C(C3=C(S1(=O)=O)C=C(C=C3)Cl)NCCCCCCC(=O)O
bivalirudin,CCC(C)C(C(=O)N1CCCC1C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(CC2=CC=C(C=C2)O)C(=O)NC(CC(C)C)C(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(=O)N)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)C4CCCN4C(=O)C(CCCNC(=N)N)NC(=O)C5CCCN5C(=O)C(CC6=CC=CC=C6)N
lorazepam,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl
isoflurane,C(C(F)(F)F)(OC(F)F)Cl
everolimus,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OCCO)C)C)O)OC)C)C)C)OC
midazolam,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F
articaine,CCCNC(C)C(=O)NC1=C(SC=C1C)C(=O)OC
isoxsuprine,CC(COC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O
procaterol,CCC(C(C1=C2C=CC(=O)NC2=C(C=C1)O)O)NC(C)C
doxepin,CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31
levosalbutamol,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O
teniposide,COC1=CC(=CC(=C1O)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)OC6C(C(C7C(O6)COC(O7)C8=CC=CS8)O)O
zucapsaicin,CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC
dapsone,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N
idelalisib,CCC(C1=NC2=C(C(=CC=C2)F)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5
indinavir,CC(C)(C)NC(=O)C1CN(CCN1CC(CC(CC2=CC=CC=C2)C(=O)NC3C(CC4=CC=CC=C34)O)O)CC5=CN=CC=C5
miglustat,CCCCN1CC(C(C(C1CO)O)O)O
zalcitabine,C1CC(OC1CO)N2C=CC(=NC2=O)N
clobazam,CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
levonordefrin,CC(C(C1=CC(=C(C=C1)O)O)O)N
mirtazapine,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4
magnesium trisilicate,[O-][Si](=O)O[Si]([O-])([O-])O[Si](=O)[O-].[Mg+2].[Mg+2]
glipizide,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
adapalene,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5
etacrynic acid,CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl
celecoxib,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
calcium chloride,[Cl-].[Cl-].[Ca+2]
pinaverium,CC1(C2CCC(C1C2)CCOCC[N+]3(CCOCC3)CC4=CC(=C(C=C4Br)OC)OC)C
remoxipride,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2OC)Br)OC
fludiazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F
risedronic acid,C1=CC(=CN=C1)CC(O)(P(=O)(O)O)P(=O)(O)O
dextropropoxyphene,CCC(=O)OC(CC1=CC=CC=C1)(C2=CC=CC=C2)C(C)CN(C)C
vortioxetine,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C
dosulepin,CN(C)CCC=C1C2=CC=CC=C2CSC3=CC=CC=C31
diflunisal,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O
dinoprostone,CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O
doxazosin,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC
quetiapine,C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42
sotalol,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O
carteolol,CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O
dimetotiazine,CC(CN1C2=CC=CC=C2SC3=C1C=C(C=C3)S(=O)(=O)N(C)C)N(C)C
flurbiprofen,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O
gemifloxacin,CON=C1CN(CC1CN)C2=C(C=C3C(=O)C(=CN(C3=N2)C4CC4)C(=O)O)F
probenecid,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O
phenprocoumon,CCC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O
oritavancin,CC1C(C(CC(O1)OC2C3C(=O)NC(C4=C(C(=CC(=C4)O)O)C5=C(C=CC(=C5)C(C(=O)N3)NC(=O)C6C7=CC(=C(C(=C7)OC8=C(C=C2C=C8)Cl)OC9C(C(C(C(O9)CO)O)O)OC1CC(C(C(O1)C)O)(C)NCC1=CC=C(C=C1)C1=CC=C(C=C1)Cl)OC1=C(C=C(C=C1)C(C(C(=O)NC(C(=O)N6)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)O)C(=O)O)(C)N)O
meperidine,CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2
tetrabenazine,CC(C)CC1CN2CCC3=CC(=C(C=C3C2CC1=O)OC)OC
desvenlafaxine,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O
daclatasvir,CC(C)C(C(=O)N1CCCC1C2=NC=C(N2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5=CN=C(N5)C6CCCN6C(=O)C(C(C)C)NC(=O)OC)NC(=O)OC
ticlopidine,C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl
dabrafenib,CC(C)(C)C1=NC(=C(S1)C2=NC(=NC=C2)N)C3=C(C(=CC=C3)NS(=O)(=O)C4=C(C=CC=C4F)F)F
melatonin,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
beclomethasone dipropionate,CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)Cl)O)C)C)OC(=O)CC
fluoxymesterone,CC12CCC(=O)C=C1CCC3C2(C(CC4(C3CCC4(C)O)C)O)F
methscopolamine bromide,C[N+]1(C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4)C.[Br-]
nalbuphine,C1CC(C1)CN2CCC34C5C(CCC3(C2CC6=C4C(=C(C=C6)O)O5)O)O
diflorasone,CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C)F
acenocoumarol,CC(=O)CC(C1=CC=C(C=C1)[N+](=O)[O-])C2=C(C3=CC=CC=C3OC2=O)O
trimethoprim,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N
trospium,C1CC[N+]2(C1)C3CCC2CC(C3)OC(=O)C(C4=CC=CC=C4)(C5=CC=CC=C5)O
lodoxamide,C1=C(C=C(C(=C1NC(=O)C(=O)O)Cl)NC(=O)C(=O)O)C#N
fospropofol,CC(C)C1=C(C(=CC=C1)C(C)C)OCOP(=O)(O)O
tasimelteon,CCC(=O)NCC1CC1C2=C3CCOC3=CC=C2
benzatropine,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4
cyclophosphamide,C1CNP(=O)(OC1)N(CCCl)CCCl
ixazomib,B(C(CC(C)C)NC(=O)CNC(=O)C1=C(C=CC(=C1)Cl)Cl)(O)O
practolol,CC(C)NCC(COC1=CC=C(C=C1)NC(=O)C)O
nepafenac,C1=CC=C(C=C1)C(=O)C2=CC=CC(=C2N)CC(=O)N
maprotiline,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24
betaxolol,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O
netupitant,CC1=CC=CC=C1C2=CC(=NC=C2N(C)C(=O)C(C)(C)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)N4CCN(CC4)C
crisaborole,B1(C2=C(CO1)C=C(C=C2)OC3=CC=C(C=C3)C#N)O
aminosalicylic acid,C1=CC(=C(C=C1N)O)C(=O)O
timolol,CC(C)(C)NCC(COC1=NSN=C1N2CCOCC2)O
darunavir,CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2COC3C2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N
rabeprazole,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCCCOC
cefditoren,CC1=C(SC=N1)C=CC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O
tiaprofenic acid,CC(C1=CC=C(S1)C(=O)C2=CC=CC=C2)C(=O)O
metoclopramide,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl
pramipexole,CCCNC1CCC2=C(C1)SC(=N2)N
macitentan,CCCNS(=O)(=O)NC1=C(C(=NC=N1)OCCOC2=NC=C(C=N2)Br)C3=CC=C(C=C3)Br
methylphenidate,COC(=O)C(C1CCCCN1)C2=CC=CC=C2
pivmecillinam,CC1(C(N2C(S1)C(C2=O)N=CN3CCCCCC3)C(=O)OCOC(=O)C(C)(C)C)C
arbekacin,C1CC(C(OC1CN)OC2C(CC(C(C2O)OC3C(C(C(C(O3)CO)O)N)O)NC(=O)C(CCN)O)N)N
miconazole,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl
nilvadipine,CC1=C(C(C(=C(N1)C#N)C(=O)OC)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC(C)C
seratrodast,CC1=C(C(=O)C(=C(C1=O)C)C(CCCCCC(=O)O)C2=CC=CC=C2)C
floxuridine,C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O
trichlormethiazide,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)NC(N2)C(Cl)Cl
eliglustat,CCCCCCCC(=O)NC(CN1CCCC1)C(C2=CC3=C(C=C2)OCCO3)O
irbesartan,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5
velpatasvir,CC1CCC(N1C(=O)C(C(C)C)NC(=O)OC)C2=NC3=C(N2)C=CC4=CC5=C(C=C43)OCC6=C5C=CC(=C6)C7=CN=C(N7)C8CC(CN8C(=O)C(C9=CC=CC=C9)NC(=O)OC)COC
quinine,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O
warfarin,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O
cefacetrile,CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)CC#N)SC1)C(=O)O
meloxicam,CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O
estrone sulfate,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O
isoniazid,C1=CN=CC=C1C(=O)NN
calcium carbonate,C(=O)([O-])[O-].[Ca+2]
eszopiclone,CN1CCN(CC1)C(=O)OC2C3=NC=CN=C3C(=O)N2C4=NC=C(C=C4)Cl
pyrazinamide,C1=CN=C(C=N1)C(=O)N
pitavastatin,C1CC1C2=NC3=CC=CC=C3C(=C2C=CC(CC(CC(=O)O)O)O)C4=CC=C(C=C4)F
antipyrine,CC1=CC(=O)N(N1C)C2=CC=CC=C2
liothyronine,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)O)N)I)I)O
disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC
diltiazem,CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC
acebutolol,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C
dutasteride,CC12CCC3C(C1CCC2C(=O)NC4=C(C=CC(=C4)C(F)(F)F)C(F)(F)F)CCC5C3(C=CC(=O)N5)C
simeprevir,CC1=C(C=CC2=C1N=C(C=C2OC3CC4C(C3)C(=O)N(CCCCC=CC5CC5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)C7=NC(=CS7)C(C)C)OC
cyclothiazide,C1C2CC(C1C=C2)C3NC4=CC(=C(C=C4S(=O)(=O)N3)S(=O)(=O)N)Cl
amiloride,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N
loxoprofen,CC(C1=CC=C(C=C1)CC2CCCC2=O)C(=O)O
chloroprocaine,CCN(CC)CCOC(=O)C1=C(C=C(C=C1)N)Cl
tretinoin,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C
estramustine,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)OC(=O)N(CCCl)CCCl
lurasidone,C1CCC(C(C1)CN2CCN(CC2)C3=NSC4=CC=CC=C43)CN5C(=O)C6C7CCC(C7)C6C5=O
streptomycin,CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(C=O)O
somatostatin,CC(C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)CC5=CC=CC=C5)CC(=O)N)CCCCN)NC(=O)CNC(=O)C(C)N)C(=O)O)CO)C(C)O)CC6=CC=CC=C6)O
brexpiprazole,C1CN(CCN1CCCCOC2=CC3=C(C=C2)C=CC(=O)N3)C4=C5C=CSC5=CC=C4
regorafenib,CNC(=O)C1=NC=CC(=C1)OC2=CC(=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F)F
cinchocaine,CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC
mannitol,C(C(C(C(C(CO)O)O)O)O)O
clonixin,CC1=C(C=CC=C1Cl)NC2=C(C=CC=N2)C(=O)O
bupranolol,CC1=CC(=C(C=C1)Cl)OCC(CNC(C)(C)C)O
mycophenolate mofetil,CC1=C2COC(=O)C2=C(C(=C1OC)CC=C(C)CCC(=O)OCCN3CCOCC3)O
fosinopril,CCC(=O)OC(C(C)C)OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N2CC(CC2C(=O)O)C3CCCCC3
mesalazine,C1=CC(=C(C=C1N)C(=O)O)O
quazepam,C1C(=S)N(C2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3F)CC(F)(F)F
tacrolimus,CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)CC=C)O)C)C(=CC4CCC(C(C4)OC)O)C)O)C)OC)OC
clomipramine,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl
balsalazide,C1=CC(=CC=C1C(=O)NCCC(=O)O)N=NC2=CC(=C(C=C2)O)C(=O)O
cilazapril,CCOC(=O)C(CCC1=CC=CC=C1)NC2CCCN3CCCC(N3C2=O)C(=O)O
calcium acetate,CC(=O)[O-].CC(=O)[O-].[Ca+2]
liotrix,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)[O-])N)I)I)O.C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)[O-])N.[Na+].[Na+]
estrone,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O
phenylacetic acid,C1=CC=C(C=C1)CC(=O)O
fludrocortisone,CC12CCC(=O)C=C1CCC3C2(C(CC4(C3CCC4(C(=O)CO)O)C)O)F
glycerol phenylbutyrate,C1=CC=C(C=C1)CCCC(=O)OCC(COC(=O)CCCC2=CC=CC=C2)OC(=O)CCCC3=CC=CC=C3
octreotide,CC(C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)NC(=O)C(CC5=CC=CC=C5)N)C(=O)NC(CO)C(C)O)O
vildagliptin,C1CC(N(C1)C(=O)CNC23CC4CC(C2)CC(C4)(C3)O)C#N
azithromycin,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O
mitotane,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl
cariprazine,CN(C)C(=O)NC1CCC(CC1)CCN2CCN(CC2)C3=C(C(=CC=C3)Cl)Cl
doxycycline,CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
isotretinoin,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C
ambrisentan,CC1=CC(=NC(=N1)OC(C(=O)O)C(C2=CC=CC=C2)(C3=CC=CC=C3)OC)C
chloramphenicol,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]
nelfinavir,CC1=C(C=CC=C1O)C(=O)NC(CSC2=CC=CC=C2)C(CN3CC4CCCCC4CC3C(=O)NC(C)(C)C)O
tropicamide,CCN(CC1=CC=NC=C1)C(=O)C(CO)C2=CC=CC=C2
sertraline,CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl
norepinephrine,C1=CC(=C(C=C1C(CN)O)O)O
ketobemidone,CCC(=O)C1(CCN(CC1)C)C2=CC(=CC=C2)O
omeprazole,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC
dienogest,CC12CCC3=C4CCC(=O)C=C4CCC3C1CCC2(CC#N)O
rivaroxaban,C1COCC(=O)N1C2=CC=C(C=C2)N3CC(OC3=O)CNC(=O)C4=CC=C(S4)Cl
fosphenytoin,C1=CC=C(C=C1)C2(C(=O)N(C(=O)N2)COP(=O)(O)O)C3=CC=CC=C3
paricalcitol,CC(C=CC(C)C(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3)O)O)C
clonazepam,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl
methotrimeprazine,CC(CN1C2=CC=CC=C2SC3=C1C=C(C=C3)OC)CN(C)C
pasireotide,C1C(CN2C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C2=O)CC3=CC=CC=C3)CC4=CC=C(C=C4)OCC5=CC=CC=C5)CCCCN)CC6=CNC7=CC=CC=C76)C8=CC=CC=C8)OC(=O)NCCN
alogliptin,CN1C(=O)C=C(N(C1=O)CC2=CC=CC=C2C#N)N3CCCC(C3)N
sildenafil,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C
hydralazine,C1=CC=C2C(=C1)C=NN=C2NN
imipramine,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31
thiotepa,C1CN1P(=S)(N2CC2)N3CC3
saquinavir,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(C(CC3=CC=CC=C3)NC(=O)C(CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O
alfuzosin,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC
pirbuterol,CC(C)(C)NCC(C1=NC(=C(C=C1)O)CO)O
amrubicin,CC(=O)C1(CC(C2=C(C1)C(=C3C(=C2O)C(=O)C4=CC=CC=C4C3=O)O)OC5CC(C(CO5)O)O)N
levomilnacipran,CCN(CC)C(=O)C1(CC1CN)C2=CC=CC=C2
tryptophan,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N
nimesulide,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2
chlorthalidone,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O
vilazodone,C1CN(CCN1CCCCC2=CNC3=C2C=C(C=C3)C#N)C4=CC5=C(C=C4)OC(=C5)C(=O)N
cinacalcet,CC(C1=CC=CC2=CC=CC=C21)NCCCC3=CC(=CC=C3)C(F)(F)F
ropinirole,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
sacubitril,CCOC(=O)C(C)CC(CC1=CC=C(C=C1)C2=CC=CC=C2)NC(=O)CCC(=O)O
methadone,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2
ergometrine,CC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C
rifapentine,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C6CCCC6)C
protriptyline,CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13
griseofulvin,CC1CC(=O)C=C(C12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC
celiprolol,CCN(CC)C(=O)NC1=CC(=C(C=C1)OCC(CNC(C)(C)C)O)C(=O)C
magnesium salicylate,C1=CC=C(C(=C1)C(=O)O)[O-].C1=CC=C(C(=C1)C(=O)O)[O-].[Mg+2]
dienestrol,CC=C(C1=CC=C(C=C1)O)C(=CC)C2=CC=C(C=C2)O
levothyroxine,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N
metformin,CN(C)C(=N)N=C(N)N
chlorothiazide,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2
drospirenone,CC12CCC(=O)C=C1C3CC3C4C2CCC5(C4C6CC6C57CCC(=O)O7)C
vilanterol,C1=CC(=C(C(=C1)Cl)COCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O)Cl
eprosartan,CCCCC1=NC=C(N1CC2=CC=C(C=C2)C(=O)O)C=C(CC3=CC=CS3)C(=O)O
niacin,C1=CC(=CN=C1)C(=O)O
rosuvastatin,CC(C)C1=NC(=NC(=C1C=CC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C
neostigmine,CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C
profenamine,CCN(CC)C(C)CN1C2=CC=CC=C2SC3=CC=CC=C31
cyamemazine,CC(CN1C2=CC=CC=C2SC3=C1C=C(C=C3)C#N)CN(C)C
fenofibrate,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl
flucloxacillin,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O
picosulfuric acid,C1=CC=NC(=C1)C(C2=CC=C(C=C2)OS(=O)(=O)O)C3=CC=C(C=C3)OS(=O)(=O)O
esmolol,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O
edetic acid,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O
quinestrol,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)OC5CCCC5
calcium phosphate,[O-]P(=O)([O-])[O-].[O-]P(=O)([O-])[O-].[Ca+2].[Ca+2].[Ca+2]
tromethamine,C(C(CO)(CO)N)O
efavirenz,C1CC1C#CC2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F
calcium glucoheptonate,C(C(C(C(C(C(C(=O)[O-])O)O)O)O)O)O.C(C(C(C(C(C(C(=O)[O-])O)O)O)O)O)O.[Ca+2]
clevidipine,CCCC(=O)OCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C
exemestane,CC12CCC3C(C1CCC2=O)CC(=C)C4=CC(=O)C=CC34C
pazopanib,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N
thiothixene,CN1CCN(CC1)CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C
olaparib,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F
gallamine triethiodide,CC[N+](CC)(CC)CCOC1=C(C(=CC=C1)OCC[N+](CC)(CC)CC)OCC[N+](CC)(CC)CC.[I-].[I-].[I-]
fluticasone propionate,CCC(=O)OC1(C(CC2C1(CC(C3(C2CC(C4=CC(=O)C=CC43C)F)F)O)C)C)C(=O)SCF
levocetirizine,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
meprobamate,CCCC(C)(COC(=O)N)COC(=O)N
dronabinol,CCCCCC1=CC(=C2C3C=C(CCC3C(OC2=C1)(C)C)C)O
gemfibrozil,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O
ursodeoxycholic acid,CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C
trovafloxacin,C1C2C(C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F
magnesium hydroxide,[OH-].[OH-].[Mg+2]
ranitidine,CNC(=C[N+](=O)[O-])NCCSCC1=CC=C(O1)CN(C)C
difluprednate,CCCC(=O)OC1(CCC2C1(CC(C3(C2CC(C4=CC(=O)C=CC43C)F)F)O)C)C(=O)COC(=O)C
posaconazole,CCC(C(C)O)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5CC(OC5)(CN6C=NC=N6)C7=C(C=C(C=C7)F)F
biperiden,C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O
xylometazoline,CC1=CC(=CC(=C1CC2=NCCN2)C)C(C)(C)C
ketoprofen,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O
isosorbide mononitrate,C1C(C2C(O1)C(CO2)O[N+](=O)[O-])O
flibanserin,C1CN(CCN1CCN2C3=CC=CC=C3NC2=O)C4=CC=CC(=C4)C(F)(F)F
amsacrine,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42
lorcaserin,CC1CNCCC2=C1C=C(C=C2)Cl
carbinoxamine,CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
mephentermine,CC(C)(CC1=CC=CC=C1)NC
zotepine,CN(C)CCOC1=CC2=CC=CC=C2SC3=C1C=C(C=C3)Cl
encainide,CN1CCCCC1CCC2=CC=CC=C2NC(=O)C3=CC=C(C=C3)OC
mirabegron,C1=CC=C(C=C1)C(CNCCC2=CC=C(C=C2)NC(=O)CC3=CSC(=N3)N)O
polythiazide,NOT_FOUND
